Company Code,Vendor Number,Vendor Name,Document Number,Document Type,Document Date,Posting Date,Baseline Date,Net Due Date,Days Overdue,Amount (Doc Curr),Currency,Amount (Local Curr),Payment Terms,Payment Method,Assignment (PO #),Reference (Invoice #),Open Item,Text
1000,VND-101,Bradley Mining Supplies (Pty) Ltd,DOC-2025-001,KR,2025-11-15,2025-11-15,2025-11-15,2025-12-30,-28,145000.00,ZAR,145000.00,0002 (45 days),T (EFT),PO-AAP-001,INV-BMS-001,Yes,Mining drill bits and specialized equipment
1000,VND-101,Bradley Mining Supplies (Pty) Ltd,DOC-2025-002,KR,2025-11-20,2025-11-20,2025-11-20,2026-01-04,-33,98500.75,ZAR,98500.75,0002 (45 days),T (EFT),PO-AAP-002,INV-BMS-002,Yes,Safety helmets and protective gear
1000,VND-101,Bradley Mining Supplies (Pty) Ltd,DOC-2025-003,KR,2025-11-25,2025-11-25,2025-11-25,2026-01-09,-38,275000.00,ZAR,275000.00,0002 (45 days),T (EFT),PO-AAP-003,INV-BMS-003,Yes,Heavy machinery spare parts
1000,VND-102,Lucas Equipment Rentals CC,DOC-2025-004,KR,2025-11-10,2025-11-10,2025-11-10,2026-01-09,-38,520000.00,ZAR,520000.00,0003 (60 days),T (EFT),PO-AAP-004,INV-LER-001,Yes,Excavator rental - 3 months contract
1000,VND-102,Lucas Equipment Rentals CC,DOC-2025-005,KR,2025-11-18,2025-11-18,2025-11-18,2026-01-17,-46,195000.00,ZAR,195000.00,0003 (60 days),T (EFT),PO-AAP-005,INV-LER-002,Yes,Dump truck rental - monthly
1000,VND-102,Lucas Equipment Rentals CC,DOC-2025-006,KR,2025-11-22,2025-11-22,2025-11-22,2026-01-21,-50,115000.00,ZAR,115000.00,0003 (60 days),T (EFT),PO-AAP-006,INV-LER-003,Yes,Generator rental and maintenance services
1000,VND-103,Maphumulo Construction Services,DOC-2025-007,KR,2025-11-05,2025-11-05,2025-11-05,2025-12-20,-18,850000.00,ZAR,850000.00,0002 (45 days),T (EFT),PO-AAP-007,INV-MCS-001,Yes,Road construction phase 1 - mine access road
1000,VND-103,Maphumulo Construction Services,DOC-2025-008,KR,2025-11-12,2025-11-12,2025-11-12,2025-12-27,-25,365000.00,ZAR,365000.00,0002 (45 days),T (EFT),PO-AAP-008,INV-MCS-002,Yes,Building renovation - admin offices
1000,VND-103,Maphumulo Construction Services,DOC-2025-009,KR,2025-11-28,2025-11-28,2025-11-28,2026-01-12,-41,185000.00,ZAR,185000.00,0002 (45 days),T (EFT),PO-AAP-009,INV-MCS-003,Yes,Site preparation and clearing works
1000,VND-104,Swear Heavy Machinery,DOC-2025-010,KR,2025-11-08,2025-11-08,2025-11-08,2025-12-08,6,425000.00,ZAR,425000.00,0001 (30 days),T (EFT),PO-AAP-010,INV-SHM-001,Yes,Crusher maintenance and parts replacement
1000,VND-104,Swear Heavy Machinery,DOC-2025-010,KR,2025-11-15,2025-11-15,2025-11-15,2025-12-15,-1,312000.00,ZAR,312000.00,0001 (30 days),T (EFT),PO-AAP-011,INV-SHM-002,Yes,Conveyor belt system repairs
1000,VND-105,Lucas Mining Contractors,DOC-2025-012,KR,2025-11-01,2025-11-01,2025-11-01,2025-12-31,-29,680000.00,ZAR,680000.00,0003 (60 days),T (EFT),PO-AAP-012,INV-LMC-001,Yes,Underground drilling contract - phase 2
1000,VND-105,Lucas Mining Contractors,DOC-2025-013,KR,2025-11-20,2025-11-20,2025-11-20,2026-01-19,-48,445000.00,ZAR,445000.00,0003 (60 days),T (EFT),PO-AAP-013,INV-LMC-002,Yes,Blast hole drilling services
1000,VND-106,Maphumulo Transport Services,DOC-2025-014,KR,2025-11-10,2025-11-10,2025-11-10,2025-12-25,-23,178000.00,ZAR,178000.00,0002 (45 days),T (EFT),PO-AAP-014,INV-MTS-001,Yes,Ore transport - monthly contract
1000,VND-106,Maphumulo Transport Services,DOC-2025-015,KR,2025-11-25,2025-11-25,2025-11-25,2026-01-09,-38,225000.00,ZAR,225000.00,0002 (45 days),T (EFT),PO-AAP-015,INV-MTS-002,Yes,Equipment relocation services
